AEM1;AEM2;AEM3;AEM4;AEM5;AEM6;ASM1;ASM2;ASM3;ASM4;ASM5;ASM6;AIC1;AIC2;AIC3;AIC4;AIC5;ADR1;ADR2;ADR3;ADR4;AEV1;AEV2;AEV3;AEV4;ADC1;ADC2;ADC3;PAS7;PAS18;PAS13;PAS20;PAS1;PAS12;PAS8;PAS15;PAS6;PAS14;PAS5;PAS16;PAS17;PAS9;PAS3 ;PAS2;PAS11;AAC1;AAC2;AAC3;ATP1;ATP2;ATP3;AVR1;AVR2;AVR3;AVR4;AVR5;TRU1;TRU2;TRU3;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;CRT7;CRT8;CRT9;CRT10;CRT11;CRT12;CRT13;JSA1;JSA2;JSA3;JSA4;JSA5;MHL1;MHL2;MHL3;MHL4;MHL5;ATI1;ATI2 ;ATI3;ATI4;ATI5;ATI6;ATI7 ;ADC;ADR;AEM;AEV;AIC;ASM;ACL;ANR;AAC_ustd;ALD_ustd;ATP_ustd;AVR_ustd;CRT_ustd;PAS_ustd;TRU_ustd
3;2;6;4;3;6;6;5;5;5;5;6;4;5;4;3;4;4;2;6;5;5;5;3;5;5;5;5;6;4;4;5;2;5;5;5;5;4;6;3;5;6;6;4;6;4;6;6;2;2;2;3;6;6;5;6;5;3;4;4;5;7;5;5;4;5;6;5;3;5;5;4;7;6;5;1;2;3;3;2;3;4;5;2;5;5;5;5;3;0,55;-0,205;-0,348;-0,054;-0,078;0,705;0,114;0,158;5,356;4,446448703;2;5,189;4,834;4,682;4,024
6;6;5;4;4;5;4;3;5;6;5;5;6;5;6;5;6;6;6;6;5;6;7;6;6;5;3;3;4;5;6;6;5;4;3;4;5;5;4;4;7;7;5;4;7;6;7;7;6;6;7;3;4;3;3;5;6;5;6;7;7;7;7;5;6;6;7;7;6;6;5;6;4;3;4;5;5;6;5;4;5;7;6;5;7;4;7;7;3;-0,423;1,006;0,57;1,371;1,219;0,172;0,744;0,77;6,678;5,147688839;6,369;3,59;6,312;4,73;5,669
5;5;5;5;5;5;4;5;5;5;5;5;4;4;5;4;4;5;5;6;5;5;6;4;6;6;5;4;4;5;5;4;4;4;3;4;5;5;5;4;6;6;4;4;5;5;6;6;4;4;5;4;4;3;3;5;5;5;5;5;5;6;5;5;5;5;6;5;5;5;5;5;5;4;5;5;5;6;5;5;4;5;5;3;5;4;6;6;3;0,564;0,602;0,762;0,581;0,093;0,282;0,664;0,435;5,678;4,924464487;4,369;3,791;5,149;4,342;5
6;6;4;3;4;5;4;3;3;2;5;5;4;4;4;5;4;5;5;4;5;2;6;2;3;5;2;2;4;6;6;5;5;5;4;4;6;7;7;5;6;7;5;4;6;6;6;5;3;2;2;6;4;5;3;6;4;5;4;6;6;6;7;5;5;5;6;6;7;6;6;6;3;6;4;7;5;5;5;4;4;5;5;4;5;4;7;6;5;-0,909;0,127;0,34;-1,032;0,072;-0,687;-0,703;-0,155;5,699;3,789177001;2,322;4,788;5,95;5,273;4,331
4;5;4;4;6;3;5;4;5;4;5;6;4;3;5;4;3;4;3;4;4;4;6;2;4;1;2;5;3;4;2;2;5;3;1;3;3;2;4;2;7;7;3;2;3;6;6;6;3;2;5;2;2;3;2;5;6;5;6;6;5;6;6;6;6;5;5;3;5;5;4;4;5;5;4;5;4;6;5;5;3;5;5;3;4;2;6;6;3;-1,206;-0,672;0,335;-0,425;-0,23;0,288;-0,875;0,155;6;3,847801578;3,43;2,792;5,051;2,834;5,669
6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;6;6;3;6;6;6;6;6;7;7;6;6;5;6;6;5;5;5;5;6;6;6;6;5;7;7;5;5;6;6;6;7;5;5;6;5;5;5;2;5;5;5;6;6;6;6;6;6;7;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;5;6;5;6;6;5;1,549;0,595;1,608;1,365;1,529;0,971;1,344;1,62;6,301;5,954904171;5,369;4,375;6,065;5,478;5,315
5;4;5;4;5;5;4;4;3;5;4;5;4;4;3;3;3;3;3;4;3;5;5;4;6;6;2;3;5;5;4;5;4;4;4;4;5;4;5;4;6;4;4;3;5;5;4;5;5;5;5;4;4;4;5;6;3;4;3;5;5;4;4;4;5;5;5;7;5;5;5;5;5;4;4;5;2;3;3;3;3;4;5;3;6;6;5;5;5;-0,411;-1,068;0,301;0,354;-0,575;-0,264;-0,413;-0,241;4,623;3,919954904;5;4,604;4,936;4,327;3,331
3;4;3;2;3;2;3;2;2;3;3;3;3;2;3;2;2;3;3;4;3;2;4;2;4;3;2;3;2;2;2;2;2;4;2;3;4;4;4;3;5;4;3;2;4;4;4;4;2;2;2;3;2;2;2;3;2;3;3;4;4;5;5;4;4;4;5;4;3;4;4;4;3;2;3;3;3;3;3;2;2;2;3;3;3;3;5;5;3;-1,179;-1,068;-1,124;-1,265;-1,362;-1,539;-1,338;-1,633;4;2,632468997;2;2,399;4,144;2,893;2,646
6;7;3;6;7;7;2;1;5;7;7;7;5;4;4;3;5;6;3;3;5;6;7;5;5;1;3;4;4;6;1;4;6;6;5;2;4;2;6;3;3;3;5;7;6;6;6;5;2;2;5;2;2;2;1;5;4;3;5;2;4;4;4;1;3;2;4;2;3;2;3;2;2;4;2;3;5;6;6;7;3;6;6;3;3;2;6;6;2;-1,204;-0,309;2,223;0,963;0,086;0,386;-0,199;0,999;5,699;4,697857948;3,108;2,385;2,769;4,517;3,984
5;4;5;3;3;2;3;4;5;5;5;6;5;4;4;3;4;2;5;5;4;2;5;2;4;5;4;3;2;3;2;4;4;2;3;4;5;7;6;4;6;6;3;2;5;4;6;6;3;2;3;4;4;2;2;4;3;3;4;6;5;6;5;5;6;5;5;6;5;5;5;6;5;4;4;6;6;6;5;3;3;6;7;6;5;3;6;7;6;-0,179;-0,439;-0,894;-1,037;-0,08;0,161;-0,635;-0,279;5,356;3,765501691;2,691;3,186;5,375;3,779;3,315
6;7;6;2;2;7;6;6;7;7;7;7;7;5;6;4;4;7;7;4;5;1;3;2;6;5;1;6;1;2;5;5;1;1;2;1;1;4;1;1;7;7;2;2;6;6;5;6;3;2;6;2;1;1;1;1;6;5;5;6;7;7;6;4;6;7;7;5;5;6;4;6;5;5;4;7;7;6;5;6;4;4;5;3;5;4;6;6;1;-0,184;0,936;0,344;-1,24;0,889;1,85;-0,209;1,303;5,623;4,851183766;3,799;1,201;5,821;2,333;5,354
4;3;4;4;3;3;3;4;4;5;5;4;3;3;3;3;3;3;4;4;3;3;4;3;4;3;3;2;2;2;2;2;2;2;2;2;2;4;4;2;5;5;3;2;4;3;4;6;2;2;4;2;2;2;2;3;3;4;4;3;4;5;5;4;4;4;4;4;3;4;4;3;3;3;4;4;3;4;3;3;3;4;3;3;3;3;4;5;2;-1,177;-0,866;-0,699;-0,889;-0,887;-0,264;-1,116;-0,723;4,28;3,243517475;2,739;2,198;3,911;2,5;3,646
3;5;7;5;4;4;7;7;7;6;7;7;7;7;6;4;6;6;7;5;7;7;6;2;7;5;7;6;7;6;5;6;2;7;2;6;6;6;5;2;5;7;2;4;7;6;6;7;6;6;6;4;6;6;5;7;5;5;3;7;7;7;7;7;6;4;6;7;7;6;5;6;6;5;4;3;2;6;7;6;3;7;7;5;6;5;7;6;3;1,281;1,355;0,377;0,82;1,534;1,969;1,309;1,627;6,301;5,937993236;6;5,588;6,333;4,959;4,37
6;6;5;3;2;4;6;6;7;6;6;7;7;7;6;6;6;4;3;3;5;6;4;3;4;6;3;4;4;5;2;5;2;3;3;3;6;7;7;5;5;7;2;5;5;4;6;5;3;4;3;6;6;6;5;5;3;3;5;7;6;6;6;5;4;6;6;6;5;5;5;5;5;4;5;5;6;5;6;5;5;3;3;2;3;3;4;3;3;0,076;-0,716;-0,237;-0,312;1,84;1,547;-0,356;1,343;5,056;4,783540023;3,309;5,594;5,552;4,311;3,63
2;2;2;2;2;1;2;2;4;2;3;4;2;3;3;2;3;2;4;3;1;1;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;4;2;1;4;2;1;2;2;3;3;2;2;2;2;3;2;2;2;4;2;2;2;2;2;3;3;2;3;3;4;3;2;3;2;3;2;2;2;3;2;2;2;2;1;2;2;2;2;2;2;2;1;-1,933;-1,693;-1,97;-2,544;-1,194;-1,417;-2,355;-1,813;2,699;1,924464487;2;2,596;2,677;1,918;2
5;4;4;3;3;3;3;4;3;5;5;5;2;2;2;4;3;4;5;5;4;3;5;3;5;6;3;4;5;5;3;5;5;5;3;5;6;6;6;5;6;6;4;4;5;5;6;6;4;4;5;4;4;4;4;5;4;4;5;5;6;6;6;5;5;4;5;5;4;4;6;3;5;5;5;4;5;4;3;3;3;3;5;3;3;4;5;5;3;0,076;-0,032;-0,7;-0,438;-1,22;-0,249;-0,154;-0,851;5,678;3,756482525;4,369;4,198;4,926;4,839;4,315
4;3;3;2;4;2;3;3;3;3;4;4;3;3;4;3;3;4;4;4;3;3;4;2;4;4;3;3;2;2;5;2;2;2;2;3;3;3;4;2;5;5;3;2;3;4;4;4;2;2;4;2;2;2;2;1;3;4;4;4;4;5;4;4;4;3;4;4;3;4;4;3;3;2;3;4;3;4;4;3;2;3;2;2;3;2;4;5;2;-0,679;-0,663;-1,164;-1,073;-0,712;-0,977;-0,922;-1,136;4;3,144306652;2,739;1,802;3,843;2,667;3,646
5;4;4;4;4;4;4;4;5;5;4;5;6;6;5;5;4;4;4;4;5;5;7;5;6;6;4;4;2;4;4;3;3;2;2;3;7;4;6;3;7;6;3;3;5;4;4;4;3;2;4;2;3;3;3;4;3;5;4;4;5;5;5;5;5;5;5;5;4;5;5;3;5;4;4;5;4;6;6;6;5;5;3;3;5;4;5;5;3;0,32;-0,278;-0,084;0,994;0,869;-0,002;0,408;0,319;4;4,709131905;3,06;2,997;4,684;3,607;3,976
4;5;5;4;2;1;3;4;5;4;5;5;3;3;4;4;6;5;6;5;6;3;5;4;6;7;5;3;2;3;5;4;2;1;2;2;1;2;3;2;5;3;3;1;3;4;6;4;2;1;3;1;1;1;1;2;3;4;3;4;4;5;5;4;5;3;5;5;4;4;6;5;3;3;4;6;3;4;3;4;2;2;2;2;3;1;4;4;3;0,577;0,758;-0,817;-0,031;-0,061;-0,135;0,488;-0,376;4,755;4,393461105;2,06;1,198;4,543;2,364;3,331
4;3;4;3;5;4;3;4;3;4;5;6;3;3;3;2;3;3;3;5;4;2;2;2;3;4;4;3;2;3;3;3;2;4;5;4;4;3;4;4;6;4;4;4;4;4;4;4;2;2;3;2;3;2;2;4;3;3;3;4;4;5;5;5;5;5;6;5;4;4;5;4;4;4;5;4;3;4;3;3;2;4;3;2;3;2;4;5;2;-0,435;-0,638;-0,354;-1,944;-1,04;-0,251;-1,16;-0,656;4;3,251409245;2,369;2,59;4,678;3,519;3
6;6;6;5;4;6;5;5;6;6;6;5;5;6;6;6;6;5;5;6;6;6;7;5;7;7;5;4;6;6;6;7;6;6;3;4;6;6;7;5;7;6;6;5;7;6;7;6;5;4;6;3;3;4;2;6;5;6;6;6;6;6;6;6;6;6;6;6;5;6;5;4;5;6;5;6;5;6;5;4;4;5;5;3;3;5;6;6;4;0,82;0,794;0,995;1,409;1,374;0,855;1,156;1,288;6,377;5,667418264;5,06;3,584;5,683;5,753;5,646
4;3;3;3;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;5;3;4;4;3;3;2;2;3;3;2;2;2;2;4;4;5;2;6;5;2;2;3;3;4;4;2;2;3;2;2;2;2;4;3;3;3;4;4;4;4;3;3;4;5;4;3;3;3;3;3;2;3;3;1;3;3;3;2;3;3;2;3;2;4;4;2;-0,679;-1,305;-1,315;-0,661;-1,04;-1,277;-0,998;-1,455;3,678;2,931228861;2,369;2,396;3,615;2,692;3
4;4;5;4;4;4;3;3;3;4;3;4;3;4;4;4;3;5;4;4;4;4;5;3;6;5;2;4;4;5;5;5;5;4;5;5;5;5;6;4;6;6;5;4;6;5;4;4;2;2;5;4;3;4;2;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;5;6;1;2;2;3;3;4;3;3;3;5;5;4;5;3;4;4;3;-0,424;-0,267;-0,084;-0,023;-0,402;-0,982;-0,27;-0,628;4,322;3,803833145;3,108;3,389;4,912;4,879;4,315
5;4;4;3;4;3;4;4;4;4;5;5;4;4;4;4;4;4;4;5;4;4;5;3;5;5;4;3;4;4;4;4;3;3;3;4;4;4;5;3;6;5;3;3;4;5;5;5;3;3;4;3;3;2;2;4;4;5;5;4;5;5;5;4;5;5;5;5;4;6;4;4;4;3;4;4;4;5;4;3;3;4;4;3;5;3;5;5;3;-0,179;-0,233;-0,509;-0,246;-0,082;-0,128;-0,25;-0,271;5;4,002254791;3,369;2,791;4,683;3,686;4,646
7;6;6;5;6;6;5;5;6;7;6;6;6;6;6;4;5;6;6;6;5;4;6;4;6;7;6;5;5;6;6;6;6;6;5;5;6;6;6;5;6;6;5;5;7;6;6;6;6;5;6;6;5;4;4;5;5;5;5;6;7;7;7;6;7;6;6;6;6;6;3;6;6;4;5;6;6;7;5;7;6;7;7;4;7;6;7;7;6;1,306;1,006;1,377;0,389;1,057;1,15;1,022;1,428;6;5,66065389;5,691;4,794;6,055;5,683;5
3;2;4;4;4;2;2;4;4;3;3;4;2;3;3;4;3;4;3;4;4;4;5;4;5;3;3;3;3;4;4;2;2;3;3;3;4;4;4;3;4;3;2;3;3;4;4;3;2;2;3;2;2;2;2;4;3;3;3;2;3;5;5;3;4;5;5;3;3;3;4;4;3;3;4;3;2;3;3;3;2;3;4;3;3;3;5;5;3;-0,935;-0,672;-0,932;-0,061;-0,888;-1,008;-0,629;-1,138;3,699;3,320180383;2,369;2,396;3,736;3,136;3
4;4;3;3;3;2;3;3;4;2;1;1;3;3;4;2;2;3;3;3;6;4;4;4;5;3;2;6;5;6;6;5;6;5;4;4;4;4;5;4;7;7;4;4;3;3;4;4;1;1;4;5;5;4;4;4;4;3;3;2;2;2;2;3;7;1;5;1;3;3;4;4;2;2;2;4;3;3;5;3;3;4;3;3;2;3;3;3;2;-0,451;-0,727;-0,894;-0,289;-1,031;-1,896;-0,553;-1,577;3,678;3,135287486;2,108;4,395;2,961;4,593;3,354
6;5;6;5;5;4;5;5;5;6;5;6;5;5;5;5;5;5;6;6;4;5;6;4;6;6;5;4;5;6;5;3;3;4;4;4;5;4;6;4;6;6;4;4;5;4;6;6;5;4;5;2;3;3;2;4;5;5;5;6;6;6;5;5;5;5;5;6;4;5;5;4;5;5;5;6;6;6;6;5;5;5;6;4;5;4;6;6;3;0,564;0,61;0,568;0,581;0,724;0,716;0,667;0,812;5,356;5,122886133;4,691;2,789;5,154;4,395;5
2;3;5;3;2;2;5;6;6;5;5;5;3;3;3;3;3;5;5;5;5;3;3;3;2;2;3;3;2;5;2;5;2;5;3;5;6;6;5;3;6;3;3;3;6;5;5;6;3;2;3;3;5;5;5;5;3;2;3;3;3;5;3;3;5;6;7;2;3;3;5;5;5;5;5;5;5;3;3;3;3;3;2;2;5;2;5;5;2;-1,19;0,364;-1,315;-1,562;-0,887;0,681;-0,93;-0,522;5,301;3,459977452;2,691;4,598;4,024;4,118;2,669
